Date,Close,Ticker
2/29/2016,150.03,COST
3/1/2016,150.52,COST
3/2/2016,152.79,COST
3/3/2016,151.6,COST
3/4/2016,150.9,COST
3/7/2016,148.17,COST
3/8/2016,150.95,COST
3/9/2016,153.05,COST
3/10/2016,152.87,COST
3/11/2016,152.71,COST
3/14/2016,152.67,COST
3/15/2016,154.18,COST
3/16/2016,154.06,COST
3/17/2016,153.84,COST
3/18/2016,153.15,COST
3/21/2016,153.94,COST
3/22/2016,152.23,COST
3/23/2016,153.51,COST
3/24/2016,151.43,COST
3/28/2016,152.67,COST
3/29/2016,155.26,COST
3/30/2016,157.6,COST
3/31/2016,157.58,COST
4/1/2016,158.25,COST
4/4/2016,157.73,COST
4/5/2016,155.99,COST
4/6/2016,156.77,COST
4/7/2016,152.03,COST
4/8/2016,151.65,COST
4/11/2016,149.05,COST
4/12/2016,150.52,COST
4/13/2016,151.88,COST
4/14/2016,151.4,COST
4/15/2016,153.17,COST
4/18/2016,153.3,COST
4/19/2016,153.68,COST
4/20/2016,152.74,COST
4/21/2016,151.42,COST
4/22/2016,149.92,COST
4/25/2016,151.51,COST
4/26/2016,152.6,COST
4/27/2016,151.77,COST
4/28/2016,151.44,COST
4/29/2016,148.13,COST
5/2/2016,150.93,COST
5/3/2016,151.41,COST
5/4/2016,151.51,COST
5/5/2016,147.84,COST
5/6/2016,146.44,COST
5/9/2016,148.59,COST
5/10/2016,149.56,COST
5/11/2016,147.12,COST
5/12/2016,146.72,COST
5/13/2016,144.5,COST
5/16/2016,145.79,COST
5/17/2016,143.6,COST
5/18/2016,141.29,COST
5/19/2016,142.7,COST
5/20/2016,142.69,COST
5/23/2016,142.01,COST
5/24/2016,142.57,COST
5/25/2016,144.54,COST
5/26/2016,149.71,COST
5/27/2016,149.08,COST
5/31/2016,148.77,COST
6/1/2016,152.52,COST
6/2/2016,151.51,COST
6/3/2016,151.71,COST
6/6/2016,152.24,COST
6/7/2016,152.62,COST
6/8/2016,153.37,COST
6/9/2016,154.05,COST
6/10/2016,154.87,COST
6/13/2016,154.95,COST
6/14/2016,155.87,COST
6/15/2016,154.86,COST
6/16/2016,156.42,COST
6/17/2016,155.89,COST
6/20/2016,156.48,COST
6/21/2016,157.2,COST
6/22/2016,158.12,COST
6/23/2016,157.03,COST
6/24/2016,155.56,COST
6/27/2016,154.26,COST
6/28/2016,155.6,COST
6/29/2016,157.08,COST
6/30/2016,157.04,COST
7/1/2016,156.11,COST
7/5/2016,155.25,COST
7/6/2016,156.01,COST
7/7/2016,163.7,COST
7/8/2016,165.44,COST
7/11/2016,166.72,COST
7/12/2016,166.28,COST
7/13/2016,166.78,COST
7/14/2016,166.94,COST
7/15/2016,166.41,COST
7/18/2016,167.51,COST
7/19/2016,168.12,COST
7/20/2016,168.04,COST
7/21/2016,167.05,COST
7/22/2016,167.47,COST
7/25/2016,167.97,COST
7/26/2016,167.57,COST
7/27/2016,166.15,COST
7/28/2016,166.35,COST
7/29/2016,167.22,COST
8/1/2016,167.56,COST
8/2/2016,166.5,COST
8/3/2016,166.12,COST
8/4/2016,166.55,COST
8/5/2016,167.7,COST
8/8/2016,167.4,COST
8/9/2016,167.86,COST
8/10/2016,168.29,COST
8/11/2016,167.88,COST
8/12/2016,169.04,COST
8/15/2016,168.73,COST
8/16/2016,168.41,COST
8/17/2016,167.96,COST
8/18/2016,167.75,COST
8/19/2016,168.02,COST
8/22/2016,167.94,COST
8/23/2016,167.36,COST
8/24/2016,167.57,COST
8/25/2016,164.86,COST
8/26/2016,163.93,COST
8/29/2016,163.98,COST
8/30/2016,161.96,COST
8/31/2016,162.09,COST
9/1/2016,156.21,COST
9/2/2016,157.98,COST
9/6/2016,158.06,COST
9/7/2016,155.64,COST
9/8/2016,153.47,COST
9/9/2016,150.7,COST
9/12/2016,151.69,COST
9/13/2016,150.74,COST
9/14/2016,150.69,COST
9/15/2016,152.67,COST
9/16/2016,152.35,COST
9/19/2016,151.79,COST
9/20/2016,152.17,COST
9/21/2016,152.7,COST
9/22/2016,153.15,COST
9/23/2016,152.53,COST
9/26/2016,151.19,COST
9/27/2016,150.45,COST
9/28/2016,149.41,COST
9/29/2016,147.49,COST
9/30/2016,152.51,COST
10/3/2016,151.01,COST
10/4/2016,150.48,COST
10/5/2016,149.98,COST
10/6/2016,149.47,COST
10/7/2016,149.99,COST
